34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,23
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,23
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,23
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,23
23,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23
23,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,23
23,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,23
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,23
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,23
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,23
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,34
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
